sign	id	agew	heightw	weightw	want_dietw	durationw	waistw	bmiw	recnetw	agew_n	heightw_n	weightw_n	want_dietw_n	durationw_n	waistw_n	bmiw_n	recnetw_n	ableage	sex	married_r	purable	add0	add1	add2	d1	d2	d3	d4	lp1	lp2	lp3	lp4	lp5	lp6	lp7	lp8	lp9	diet_pur1	diet_pur2	diet_pur3	diet_pur4	diet_pur5	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	PG01																																																																																																																																																										
0	come0208	19	160	49	45	396	26	19.140625	48	0.111111111	0.333333333	0.066666667	0.08	0.99488491	0.125	0.187096734	0.511363636	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	yyss19	19	158	60	48	187	28.24596758	24.03460984	22	0.111111111	0.222222222	0.433333333	0.2	0.460358056	0.405745947	0.485615822	0.215909091	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	cender	22	167	56	52	389	29	20.07960128	29	0.277777778	0.722222222	0.3	0.36	0.976982097	0.5	0.244371603	0.295454545	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	ujoana	23	154.6	54	44	389	27	22.59304569	20	0.333333333	0.033333333	0.233333333	0.04	0.976982097	0.25	0.397684529	0.193181818	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0																																																																																																																																																										
0	coo444	20	154	53	43	395	28.24596758	22.34778209	55	0.166666667	0	0.2	0	0.992327366	0.405745947	0.38272415	0.590909091	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0																																																																																																																																																										
0	dighk22	20	158	55	48	20	28	22.03172568	20	0.166666667	0.222222222	0.266666667	0.2	0.033248082	0.375	0.363445613	0.193181818	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0																																																																																																																																																										
0	79ysy	25	164	53	48	27	27	19.70553242	27	0.444444444	0.555555556	0.2	0.2	0.051150895	0.25	0.221554472	0.272727273	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	1200kcal	24	158.5	58	56	300	28	23.08710406	18	0.388888889	0.25	0.366666667	0.52	0.749360614	0.375	0.427820678	0.170454545	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0																																																																																																																																																										
0	naebbuji	22	160.2	56	47	17	28	21.82041487	16	0.277777778	0.344444444	0.3	0.16	0.025575448	0.375	0.350556257	0.147727273	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0																																																																																																																																																										
0	lantime	22	162	57	43	193	28.24596758	21.71925011	91	0.277777778	0.444444444	0.333333333	0	0.475703325	0.405745947	0.344385496	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	yjh0070	25	166	59	53	96	28.24596758	21.41094498	33	0.444444444	0.666666667	0.4	0.4	0.227621483	0.405745947	0.325579764	0.340909091	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0																																																																																																																																																										
0	lovelhjn	20	154	47	43	277	26	19.81784449	35	0.166666667	0	0	0	0.690537084	0.125	0.228405188	0.363636364	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	westgns	18	172	70	67	22	29	23.66143862	13	0.055555556	1	0.766666667	0.96	0.038363171	0.5	0.462853444	0.113636364	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	jukumi2	17	160	50	43	17	26	19.53125	17	0	0.333333333	0.1	0	0.025575448	0.125	0.210923743	0.159090909	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	pologod	21	167	77	68	91	32	27.60945176	48	0.222222222	0.722222222	1	1	0.21483376	0.875	0.703670961	0.511363636	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	gomgi5849	20	158	77	50	293	33	30.84441596	79	0.166666667	0.222222222	1	0.28	0.731457801	1	0.900994532	0.863636364	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0																																																																																																																																																										
0	72skc	21	162	52	49	42	28.24596758	19.81405274	42	0.222222222	0.444444444	0.166666667	0.24	0.089514066	0.405745947	0.228173901	0.443181818	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	netefu	18	158	52	47	280	27	20.82999519	35	0.055555556	0.222222222	0.166666667	0.16	0.698209719	0.25	0.290143488	0.363636364	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	lsa0315	22	154	53	49	151	28.24596758	22.34778209	26	0.277777778	0	0.2	0.24	0.368286445	0.405745947	0.38272415	0.261363636	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0																																																																																																																																																										
0	ljh740213	27	168	64	52	312	28.24596758	22.67573696	69	0.555555556	0.777777778	0.566666667	0.36	0.780051151	0.405745947	0.40272846	0.75	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	mazarin77	35	156	47	48	315	25	19.31295201	91	1	0.111111111	0	0.2	0.787723785	0	0.197608189	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	aza77	24	168	52	48	7	28.24596758	18.42403628	5	0.388888889	0.777777778	0.166666667	0.2	0	0.405745947	0.14338687	0.022727273	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	rosexjy	24	170	62	58	398	28.24596758	21.4532872	15	0.388888889	0.888888889	0.5	0.6	1	0.405745947	0.328162518	0.136363636	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0																																																																																																																																																										
0	jjukkumi79	22	158	60	48	206	30	24.03460984	15	0.277777778	0.222222222	0.433333333	0.2	0.508951407	0.625	0.485615822	0.136363636	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0																																																																																																																																																										
0	cshcrony	28	161	77	55	33	28	29.70564407	33	0.611111111	0.388888889	1	0.48	0.066496164	0.375	0.831532702	0.340909091	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	epcrtes	17	160	50	45	143	28.24596758	19.53125	37	0	0.333333333	0.1	0.08	0.347826087	0.405745947	0.210923743	0.386363636	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	chuls75	26	172	77	68	26	33	26.02758248	26	0.5	1	1	1	0.04859335	1	0.607181457	0.261363636	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	titi0969	22	166	54	52	319	28	19.59645812	28	0.277777778	0.666666667	0.233333333	0.36	0.797953964	0.375	0.214901252	0.284090909	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	inok101	25	163	50	46	274	25.5	18.81892431	35	0.444444444	0.5	0.1	0.12	0.68286445	0.0625	0.167473912	0.363636364	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	jhyeon1202	30	163	60	56	34	29.5	22.58270917	34	0.722222222	0.5	0.433333333	0.52	0.069053708	0.5625	0.397054031	0.352272727	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	jjuba1004	23	164	58	50	339	28.24596758	21.56454491	20	0.333333333	0.555555556	0.366666667	0.28	0.849104859	0.405745947	0.334948921	0.193181818	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	smuphat	22	165	58	52	299	28	21.30394858	11	0.277777778	0.611111111	0.366666667	0.36	0.746803069	0.375	0.319053289	0.090909091	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	ungsun11	35	163	51	48	14	26	19.1953028	14	1	0.5	0.133333333	0.2	0.017902813	0.125	0.190431924	0.125	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	pink0zoo	20	163	68	64	203	28.24596758	25.59373706	56	0.166666667	0.5	0.7	0.84	0.501278772	0.405745947	0.580718126	0.602272727	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	pfsunyoung	34	164	54	50	398	27	20.07733492	72	0.944444444	0.555555556	0.233333333	0.28	1	0.25	0.244233362	0.784090909	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	gould21	26	172	70	65	95	32	23.66143862	11	0.5	1	0.766666667	0.88	0.225063939	0.875	0.462853444	0.090909091	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	0120hjw	17	172	77	68	231	33	26.02758248	44	0	1	1	1	0.572890026	1	0.607181457	0.465909091	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	tlove62	35	162	66	57	24	28.24596758	25.1486054	22	1	0.444444444	0.633333333	0.56	0.043478261	0.405745947	0.553566367	0.215909091	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	yallie7	27	172	74	68	324	30	25.01352082	7	0.555555556	1	0.9	1	0.810741688	0.625	0.545326594	0.045454545	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	todongi	22	160	60	50	310	28	23.4375	91	0.277777778	0.333333333	0.433333333	0.28	0.774936061	0.375	0.449193828	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	gnjini	21	169	77	68	41	33	26.95984034	39	0.222222222	0.833333333	1	1	0.086956522	1	0.664046522	0.409090909	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0																																																																																																																																																										
0	slee041	30	171	75	65	15	28.24596758	25.64891762	15	0.722222222	0.944444444	0.933333333	0.88	0.020460358	0.405745947	0.584083982	0.136363636	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	sung20014	35	160	77	60	12	33	30.078125	12	1	0.333333333	1	0.68	0.012787724	1	0.854252974	0.102272727	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	jang3233	33	160	56	53	381	28	21.875	28	0.888888889	0.333333333	0.3	0.4	0.956521739	0.375	0.353885794	0.284090909	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0																																																																																																																																																										
0	ms5338	22	154	47	44	46	26	19.81784449	45	0.277777778	0	0	0.04	0.099744246	0.125	0.228405188	0.477272727	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	beautyky	27	164	58	50	54	26	21.56454491	43	0.555555556	0.555555556	0.366666667	0.28	0.120204604	0.125	0.334948921	0.454545455	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	17els	17	162	60	48	22	28.24596758	22.86236854	22	0	0.444444444	0.433333333	0.2	0.038363171	0.405745947	0.414112453	0.215909091	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0																																																																																																																																																										
0	sorimsaa	24	166	60	53	38	27	21.77384236	38	0.388888889	0.666666667	0.433333333	0.4	0.079283887	0.25	0.347715467	0.397727273	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0																																																																																																																																																										
0	dhmsever	21	166	57	48	21	27.5	20.68515024	21	0.222222222	0.666666667	0.333333333	0.2	0.035805627	0.3125	0.281308359	0.204545455	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	sixteen	26	162	54	48	34	28	20.57613169	34	0.5	0.444444444	0.233333333	0.2	0.069053708	0.375	0.274658539	0.352272727	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	heyday72	29	167	73.5	68	67	31	26.35447668	64	0.666666667	0.722222222	0.883333333	1	0.153452685	0.75	0.627121068	0.693181818	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0																																																																																																																																																										
0	paniccccc	20	160	52	48	43	28.24596758	20.3125	33	0.166666667	0.333333333	0.166666667	0.2	0.092071611	0.405745947	0.25857776	0.340909091	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	cantata	24	163	52	50	398	26	19.57168128	87	0.388888889	0.5	0.166666667	0.28	1	0.125	0.213389935	0.954545455	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	hh78	23	157	53.35	50	32	26	21.64388008	29	0.333333333	0.166666667	0.211666667	0.28	0.063938619	0.125	0.339788139	0.295454545	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	pure721	35	155	47	43	7	25	19.56295525	3	1	0.055555556	0	0	0	0	0.212857673	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	k20mine	31	165.6	59	53	303	28.24596758	21.51450442	35	0.777777778	0.644444444	0.4	0.4	0.757033248	0.405745947	0.331896594	0.363636364	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0																																																																																																																																																										
0	2sonjin	24	158	56	49	206	27	22.43230252	17	0.388888889	0.222222222	0.3	0.24	0.508951407	0.25	0.387879655	0.159090909	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	TIMID18	19	158	56	48	38	28	22.43230252	6	0.111111111	0.222222222	0.3	0.2	0.079283887	0.375	0.387879655	0.034090909	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	dad230	23	171	75	60	17	31	25.64891762	17	0.333333333	0.944444444	0.933333333	0.68	0.025575448	0.75	0.584083982	0.159090909	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
0	nari75	26	158	50	45	278	27	20.02884153	70	0.5	0.222222222	0.1	0.08	0.693094629	0.25	0.241275404	0.761363636	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	bada1239	30	158	77	50	79	33	30.84441596	79	0.722222222	0.222222222	1	0.28	0.184143223	1	0.900994532	0.863636364	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	oecd1234	23	172	77	68	19	33	26.02758248	19	0.333333333	1	1	1	0.030690537	1	0.607181457	0.181818182	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	hs810920	20	161	55	51	75	27	21.21831719	75	0.166666667	0.388888889	0.266666667	0.32	0.173913043	0.25	0.31383002	0.818181818	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	badasory00	20	172	64	58	158	27.5	21.63331531	85	0.166666667	1	0.566666667	0.6	0.386189258	0.3125	0.339143719	0.931818182	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	kwonys99	27	164	58	51	348	29	21.56454491	4	0.555555556	0.555555556	0.366666667	0.32	0.872122762	0.5	0.334948921	0.011363636	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	tomi	30	160	59	52	340	28.24596758	23.046875	6	0.722222222	0.333333333	0.4	0.36	0.851662404	0.405745947	0.42536682	0.034090909	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	ennasu	28	159	56	52	274	26.5	22.15102251	41	0.611111111	0.277777778	0.3	0.36	0.68286445	0.1875	0.370722378	0.431818182	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0																																																																																																																																																										
0	sem7155	30	160	70	55	87	28.24596758	27.34375	87	0.722222222	0.333333333	0.766666667	0.48	0.204603581	0.405745947	0.687463914	0.954545455	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	pink1449	23	163	49	45	78	25	18.44254582	78	0.333333333	0.5	0.066666667	0.08	0.181585678	0	0.1445159	0.852272727	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0																																																																																																																																																										
0	torynuna	25	162	58	49	35	28.24596758	22.10028959	35	0.444444444	0.444444444	0.366666667	0.24	0.071611253	0.405745947	0.367627815	0.363636364	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0																																																																																																																																																										
0	phso1128	25	157	48	47	164	26	19.47340663	83	0.444444444	0.166666667	0.033333333	0.16	0.401534527	0.125	0.207395463	0.909090909	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	rrhqhd	21	158	58	50	306	29	23.23345618	29	0.222222222	0.222222222	0.366666667	0.28	0.764705882	0.5	0.436747738	0.295454545	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0																																																																																																																																																										
0	hellohui	20	156	47	43	10	25	19.31295201	10	0.166666667	0.111111111	0	0	0.007672634	0	0.197608189	0.079545455	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	pump79	22	160	63	59	398	28	24.609375	77	0.277777778	0.333333333	0.533333333	0.64	1	0.375	0.520674854	0.840909091	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0																																																																																																																																																										
0	asori99	22	158	58	48	33	28.24596758	23.23345618	33	0.277777778	0.222222222	0.366666667	0.2	0.066496164	0.405745947	0.436747738	0.340909091	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																																																																																																																																										
0	hong80	21	163	58	49	77	28	21.8299522	77	0.222222222	0.5	0.366666667	0.24	0.179028133	0.375	0.351138007	0.840909091	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0																																																																																																																																																										
0	bka0903	35	154	47	43	36	25	19.81784449	15	1	0	0	0	0.074168798	0	0.228405188	0.136363636	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0																																																																																																																																																										
0	lsm7865	23	168.5	77	54	18	33	27.12007678	18	0.333333333	0.805555556	1	0.44	0.028132992	1	0.673820487	0.170454545	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																																																																										
0	mm1201	25	162	49	45	347	27	18.67093431	91	0.444444444	0.444444444	0.066666667	0.08	0.869565217	0.25	0.158446945	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0																																																																																																																																																										
